clean_text,sentiment
sesuai pesanan n proses cepat pertahankan y gan,positif
brg sdh diterima,negatif
good seller sukses selalu,positif
blom kpake ccocok ama pluru nya trnyata,netral
semoga awet,positif
terima kasih,positif
barang sesuai harga n berfungsi baik,positif
pesanan sesuai gambar pengiriman cepat makasih,positif
thnks gan barang sesuai foto mudah han awet coba karna isinya,positif
barang sdh dicoba semoga pakai awet thank u seller,positif
barang bagus packing rapi,positif
barang sesuai gambar barang bagus murah murahan,positif
barang sdh ditrima berfungsi manteb gan,positif
thanks thanks thanks thanks,positif
sesuau pesanan semoga awet thx,positif
barang sesuai pesanan mantapp,positif
bngung isi staples tembak nya ukuran nomer berapa,positif
barang barang terima kasih,positif
sesuai gambar sesuai kualitas harga,netral
alat bagus berjalan normal bahannya bagus pelayanan,positif
sip barang dah nyampai tengkyu,positif
mantap aman gan,positif
thanks yaa say suka sama barang nyaa sesuai good quality,positif
brg kualitas brg sesuai harga thanks,positif
bad response jawaban tanya sangat sangat silent seller,netral
respon kurang cepat kali respon cepat thanks,netral
bagus pengiriman rekomen,positif
barang sesuai pesanan mantaf,positif
super ribet cepet perlu nanya stok langsung order proses sehari sampe mantap barang murah murahan joss recommended seller,positif
sesuai pesanan sangat berguna,positif
bagus cepat barang nya oke,positif
barang terimakasih next time order,positif
makasih kiriman dah sampe,positif
lumayanlah dekorasi semoga awet,netral
harap informasi isi staples yg bagaimanakah yg cocok,netral
okelahh sesuai deskripsi,positif
puas thx,positif
produk sesuai deskripsi foto packing pengiriman rapicepat mantap sukses selalu terimakasih,positif
cepet nyampe order yg hari hari udah sampe,positif
produk sesuai deskripsi pengiriman cepat,positif
barang kualitas bagus coba dipakai bekerja yg diharapkan,positif
produk sesuai gambar mantap,positif
mantap alatny sekali jepret langsung tancap pokokny recommended,positif
thanks barang dah sampe,positif
original sesuai foto bagus mantap,positif
barang bagus sesuai pesanan,positif
babut maksudnya bagus belanja disini barang sesuai gambaran otak,positif
asli rapide r respon seller cepat,positif
produk sesuai deskripsi,positif
cepet abieas gan,positif
cepet sampainya recomend,positif
diterima baik semoga awet barangnya,positif
recomemded seller,positif
terima kasih,positif
pengiriman cepat packing rapi,positif
sesuai maaf baru konfirmasi fast respon,positif
bagus berfungsi baik,positif
barang diterima sesuai order,positif
respon cepat packing rapi aman makasih,positif
produk cepet sampainya sesuai gambar penjual ramah trimakasih sukses terus,positif
pengiriman cepat barang sesuai deskripsi terima kasih,positif
paket mantab langsung dipakai hasilnya memuaskan recomended order berikutnya,positif
barangnya sesuai harapan,positif
alhamdhulillah pesanan k lebih cepat perkiraan kualitas barang oke sangat memuaskan,positif
barang selamat packing rapih pake buble pengiriman cepat top lah,positif
barang sesuai deskripsi response seller cepat,positif
barang cepat pesan sabtu minggu sesuai harapan tks,positif
barang berkualitas,positif
barang bagus pengiriman cepat,positif
lumayan harga segitu bagus bekerja baik,positif
pengiriman cepat barang sesuai pesanan,positif
good stuff recommended,positif
barang lom dicoba bagus mantap dah,positif
barang dtg cepat berkualiras penjual respon trims,positif
barang diterima baik sgb lah fungsi jg,positif
barang bagus sangat kokoh,positif
bagus gan barang nya kokoh,positif
barang sesuai pesanan mantab gan,positif
brh sdh sampe trims gan,positif
pengiriman sangat cepat kenasan baik,positif
good response recomended seller barangnya kurang bagus,netral
barang sesuai pesanan berfungsing baik thanks,positif
orang counter tukang jok kuli bangunan tukang cilok tukang sate driver grab supir go car wajib beli pekerjaan jd mudah,positif
barangnya memuaskan gan,positif
barang diterima baik pengiriman sesuai jadwal mantap jempol dah,positif
trimakasih gan barang dah top,positif
masang jok pake,negatif
staples nya sdh tks,positif
produk sesuai foto terima kasih gan,positif
good proses cepat,positif
respon cepat pengiriman super cepat barang sesuai mantap,positif
barang bagus respon cepat tx,positif
dicoba kualitas oke sesuai deskripsi terima kasih,positif
bagus kren,positif
responnya cepet barang dicoba berfungsi baik,positif
cepat mantab makasih,positif
cepat pengirimannya ea,positif
mantep barang bagus thanks,positif
seller oke packing oke barang fungsi baik jne nya yg busuk masa kardus luar smp isi dalamnya basah semua kena hujan kurir kamprett,positif
respon cepat barang sesuai poto berfungsi normal,positif
barang bagus terima kasih,positif
sangat cepat barang persis contoh,positif
barang oke sip recommended seller,positif
barang sesuai pesanan,positif
thanks recomended,positif
thanks gan barang sdh sampe isi straplesnya udh patah rejectn sprtinya semoga bermanfaat semoga mkin laris lapaknya makasih,positif
barang bagus sesuai gambar sesuai harga trims y,positif
okey gan makasih barang mendarat,positif
barangx sdh packing barangx bgs bngt mksh gan,positif
staples sdh dicoba berfungsi baik terima kasih seller,positif
barang berfungsi baik,positif
respon seller pengiriman cepet packing aman rapi kualitas barangnya murahan berfungsi baik recommended terima kasih,positif
paket sesuai pesanan gosend bagus cepat terima kasih,positif
terimakasih barang sampe pengirimannya cepat kemasan rapih tks,positif
oke top markotop proses cepat malam bayar siang,positif
terima kasih segala pelayanannya barangnya bagus mau gunakan pasang klem kabel biar lebih cepat ternyata brad nail f masuk salam sukses gan,positif
udah samapi makasih banyak juragan,positif
sesuai bagus terima kasih sukses terus,positif
barang sesuai pengiriman ckp cepat mksh,positif
barang sesuai deskripsi penjual responsif pengiriman cepat akurat terima kasih,positif
sesuai deskripsi terima kasih,positif
respon proses order cepat barang sesuai gambar pengunaan berfungsi baik,positif
brg sdh sa pai dicoba sdh,netral
barang oke sesuai berfungsi bagus semoga awet thx gan,positif
sesuai pesanan mantaplp,positif
terimakasih paketnya good saller recoment,positif
bagus barangnya sesuai deskripsi seller top thank you,positif
paket terima terima kasih,positif
barang diterima respon penjual cepat pengiriman cepat barang bagus,positif
barang dah sampe cuma blum buka mudah an bagus,positif
cepet proses pngirimannya,positif
barangnya gan trims,positif
brg bagus pertama agan na krm barang na isi staples na gr kesalahan pabrik yg mn msh segel isi staples na ad lngsng komplain lwt tokopedia agan na lngsng mnt krm balik n brg krm yg sesuai ongkir bulak balik tanggung ama agan na thx bgtt gan bnr recomended seller,positif
paket selamat barang bagus dapet isinya macam tq,positif
selamat fast response thks,positif
thank you proses pengiriman cepat,positif
makasih responnya cepat sekali kemarin sore pesan tadi siang barang tks,positif
produknya bagus bosque,positif
kirim nya cepat produk lumayan,positif
alus uyy geus nepi deui nuhun mudah an awet,positif
sip thank s,positif
pengiriman tepat waktu terima kasih tambah sukses,positif
respon cepat barang sesuai gambar jam udah sampe makasih gan,positif
barang bagis sesuai diskripsi,positif
mantap sesuai yg iklankan,positif
mantap fast respon harga bersahabat,positif
terimakasih barang,positif
barang kurang bagus kadang staples keluar kurang bagus,netral
mantap sesuai pesanan semoga awet,positif
staples nya o k gan,positif
fast respon material bagus smoga awet tq gan,positif
terimakasih barang sesuai pesanan layanan respon cepat,positif
barangbsudah yujuan cepat parking bagus,positif
bagus sesuai pesanan berfungsi baik,positif
terimakasih barang sdh sy terima sesuai pesanan,positif
packing respon cepat and barang sesuai deskripsi recsel,positif
hari sy ltc lindeteves memang lbh baik online bebasongkir sangat efisien belanja recommended seller,positif
diterima sesuai deskripsi barang bagus,positif
udh x lbh beli disini pernah kecewa bli disini fast respon pengiriman sangat cepet rapi lanjutkan recomended,positif
terima kasih barang gan,positif
barang bagus cepat recommended,positif
sangat puas belanja toko,positif
barang selamat,positif
barang sesuai respon cepat jempol,positif
selalu puas pelayanan toko tokopedia top seller,positif
respon cepat paket cepat,positif
barang sdh fast respons,positif
recomended seller bos,positif
barang nya okey pengiriman cepat mantap makasih,positif
barang terima kasih,positif
pas cocok sesuai gambar deskripsi,positif
barang sesuai pesanan mksh,positif
belanja kedua kalinya selalu memuaskan respon cepat recommended seller,positif
stlh trf lsg dikirim wahana pake wahana serang cuma sehari recommended,positif
packing rapi sellernya ramah produk bagus makasih gan,positif
cpt pake wahana sampe kurang jam serang goodd,positif
produk sesuai etalase gambar pengiriman cepat respon baik pokok nya lah sukses selalu tingkatkan terus pelayanan,positif
baru nyoba merek ternyata bagus sukses jualannya,positif
tiba lebih cepat,positif
mantap gan sesuai pesanan perkiraan mantap tap dah thanks gan,positif
sesuai pesanan,positif
thxs gan barangnya sdh baik,positif
pas mantap,positif
thanks boss semoga bermanfaat,positif
barang thanks for seller,positif
barang udah nyampk tadi sore baru konfirmasi baru pulang kerja,positif
oke uda terimah barang bagus masalah mantap,positif
good quality suwun y sukses slalu,positif
respon tercepat semua toko yg pernah order mantap,positif
barang sesuai deskrepsi bagus,positif
produk sesuai foto uji coba hasil memuaskan,positif
diterima sesuai pesanan,positif
produk sesuai deskripsi respon cepat checkout langsung dikirim recomended seller semoga semakin sukses,positif
barang dah selamat,positif
barang respon seller sangat responsif,positif
brg sdh packing rapi,positif
bagus mantab berat,positif
terima kasih,positif
barangnya mantap bro,positif
respon super cepet jam mnt barang sdh,positif
barang diterima baik sesuai gambar cepat respon penjual lewat chat cepat dibalas packing rapi,positif
barang sesuai deskripsi,positif
pengiriman lumayan cepat waktu pasang isi paku yg beli rb an kok keluarnya apa atur biar tipa jepret keluar nya paku sj,positif
barang udah mendarat makasih,positif
barang sesuai pesanan bagus,positif
barang telat terima cuma coba semoga bagus barang nya,positif
pengiriman kemarin terhambat,netral
packing rapih isi berantakan semoga kualitasnya,positif
barang sesuai deskripsi,positif
barang sesuai bagus murah mantapp,positif
susuai pesansan,positif
sesuai iklan produk kualitas baik paking aman kirimnya cepat,positif
terima kasih barang jumlah sesuai pesanan packing rapih,positif
biar bintang yg berbicara,positif
tanks bos barang dah sesuai harapan,positif
terima barang nya tks,positif
trim gan barangnya,positif
barang sesuai ekspektasi,positif
barang sesuai pesanan respon n layanan cepat,positif
topp pesanan sesuai,positif
barang sdh baik,positif
terima kasih barang jumlah sesuai pesanan,positif
bagus barangnya rekomended reseller,positif
barang sesuai deskripsi kondisi baik thank gan,positif
terima kasih barang jumlah sesuai pesanan packing rapih,positif
t q,positif
tq stepless pas merk krisbow,positif
paket diterima baik tks,positif
gan barang pesanan trima kasi,positif
makasih gan,positif
thanx gan barang terima,positif
bagus dikirim cepat terima kasih,positif
sip laahh,positif
pengiriman cepat barang dikirm mantep,positif
ssuip barang e jos,positif
barangxa oke gan paking rapih,positif
sesuai harga,positif
brg terima thanks,positif
woke pengiriman cepat packing siip gojek e konco dewe mas bos hehehehe,positif
barang sdh sesuai deskripsi diterima isinya sdh utuh patah semua tau awal sdh larena packingnya kurang aman semoga kedepan ditingkatkan,netral
barang sdh thx,positif
salah beli mollar jangan pakai,positif
bagus sesuai deskripsi,positif
barang bagus sesuai deskripsi,positif
sesuai order semoga cocok staplesnys,positif
yerima kasih,positif
barang nya berpungsi baik mantap lah pokok nya,positif
barang isinya sesuai pesanan,positif
barang sesuai pesanan dikirim cepat,positif
terimakasih pak barang sampe barang nya sesuai keinginan best toko,positif
biar bintang yg menilai,positif
makasih makasih makasih makasih,positif
good fast respon thx gan,positif
terimakasiihh cobak,positif
mantap produk sesuai ekpektasi,positif
mantap fast berfungsi baik sesuai etalase deskripsi sangat direkomendasikan pembeli,positif
barang sesuai pesanan selamat,positif
barang bagus dah selamat maksh,positif
respon cepat kirim cepat barang dicoba bagus,positif
barang sesuai pesanan isi steples semua yg dideskripsi masuk,positif
sesuai deskripsinya bagus cepat packaging rapih,positif
barang bagus sesuai pesanan,positif
stapler tembak nya bagus berfungsi baik harga mantabs semoga awet pengiriman cepat terima kasih,positif
barang bagus memuaskan,positif
barang diterima baik,positif
barang oke pengiriman super cepat,positif
barang sdh diterima packaging rapi berfungsi baik thx,positif
barang bagus pengiriman telat,positif
terima kasih barang mendarat,positif
barang sesuai pict pesan pagi bsk udah,positif
god berfungsi baik tq,positif
barang sesuai pesanan,positif
barang oke sesuai iklan orderan thx,positif
top recomended seller,positif
barang sdh okesiip,positif
barang dah packing rapih terimakasih,positif
respon cepat produk berkualitas recommended,positif
mantap respon cepat tks,positif
sangat puas order lgsg proses cepat pengirimannya,positif
sesuai gambar deskripsi semoga tahan lama,positif
barang sesuai ulasan mantap,positif
mantap recomend,positif
respon cpt pengiriman cepet,positif
super respon n pengiriman super cepat coba semoga produknya,positif
mantap makasih gan,positif
respon mantap barang bermanfaat,positif
mantab gan,positif
barangnya sesuai,positif
terima kasih barang berfungsi baik,positif
kiriman makasih gan,positif
sesuai gambar terima kasih gan,positif
pengiriman cepat barang sesuai deskripsi thanks,positif
bagus hentakan nya kenceng,positif
pengiriman cepat pelayanan mantap toko paling top,positif
barang qulitas baik bahan tebal cacat recommended,positif
produk sd dicoba berjalan baik semoga awet,positif
produk original berkualitas berfungsi baik,positif
barang sesuai spesifikasi thanks gan,positif
barang datang sesuai pesanan,positif
barang sesuai deskripsi pengiriman cepat,positif
barang sesuai pesanan coba pengiriman cepat,positif
sesuai harapan bagus mantap cuy,positif
fast respond kualitas,positif
bagus pelayanan cepat,positif
kwalitas baik sdh coba mudah pemakainx thanks,positif
barang terima cepat kondisi barang lengkap thanks,positif
thanks gan good job next order,positif
barangnya mantap penting mure,positif
bos klu beli isinya ready,positif
barang tes,positif
brg udah dateng respon cepet kemasan rapih dicoba moga awet dah,positif
barang pesanan pengiriman cepat diperiksa sedang diluar rumah terima kasih,positif
brng ny sesuai postingan n bagus,positif
sip barang sesuai deskripsi,positif
ty gan respon cepat recomended seller sukses gan,positif
pking baik barang cuma agk lmbat pngirnnya,positif
barang oke tes nembaknya kencang mantap lah,positif
pesanan sgt cepat belom dicoba barangnya bagus kelihatannya cukup kokoh harga murah,positif
barang dicoba hasilnya sangat bagus semoga awet,positif
barangnya sesuai pesanan,positif
pengiriman cepat packing rapi,positif
barang sesuai deskripsi dites recommended seller sukses gan mksh,positif
barans sesuai pesanan,positif
respon cepat produk sesuai deskripsi packing rapi,positif
terimakasih pengiriman cepat barang sesuai,positif
biarkan bintang berbicara,positif
mudah an staples gun nya berfungsi maksimal trims,positif
terimakasih barang,positif
ukuran mak tertulis product mm faktanya mm,netral
mantaapp goodjobs,positif
staples tembak nya berfungsi baik barusan gunakan staples sofa hasil nya bagus rapi thank you,positif
good product buy it pls,positif
barangnya diterima baik penanganan proses pengirimannya cepat kualitas barang punya murah,positif
spek sesuwai yg diiklankan respon cepat repeat order lancar teruss mantab,positif
barang bagus dicoba ekspedisi wahana kurang baek lama ovel all goodjob,positif
barang sesuai deskripsi gambar smoga awet,positif
pesan homaster kenmaster dikirim isi staples yg dikirim ternyata cocok staplesnya parrahnya isinya yg jual kota nyesel beli disinu,netral
barangnya sampe berfungsi baik cuma telat sampe nya tks gan,positif
mantap barang bagus sesuai harapan,positif
bagus god,positif
maaf baru ngasih ulasan barang sdh diterima baik cuma dipake benda keras kurang nancap walaupun diseting oklah,netral
packing rapi kuat bagus barang sesuai dicoba hasil bagus recomended sklii top,positif
barang diterima sesuai pesanan,positif
terima kasih mengirimkan barang cepat kondisinya sangat bagus bahkan dilengkapi isinya terima kasih banyak cahayabelawa,positif
pelayanannya oke packingnya oke barangnya oke mksh boss,positif
barang nyampai selamat,positif
